a,e,i,per,q,ad,H,category,kmeans_cluster,pca_1,pca_2
2.766051155365554,0.0794012462377993,10.58779899521626,1680.307393820176,2.546423246472024,2.985679064259084,3.34,neos,0,-0.6455785407274197,-3.026632544915988
2.770193724888286,0.230540390934673,34.92402104683643,1684.083568966423,2.131552180587763,3.40883526918881,4.11,neos,0,0.17806935698367782,-1.2055520007809524
2.670669610528136,0.2559472478034571,12.98651243308289,1594.148129072743,1.987119073921129,3.354220147135143,5.19,neos,0,-0.2963909270994132,-1.2942072892377285
2.361397458473309,0.0901071250284849,7.143943095399415,1325.415557908216,2.148618722440708,2.57417619450591,3.25,neos,0,-0.9295636172263084,-2.978632690881761
2.576761789145174,0.1874407619692401,5.358873879186222,1510.809943197381,2.09377159597458,3.059751982315767,6.98,neos,0,-0.6377806156545853,-1.3393187039856678
2.425879205190072,0.2023356466632655,14.73542060875203,1380.073397493409,1.93503736748097,2.916721042899173,5.61,neos,0,-0.496752674001321,-1.3837517217403776
2.386321366597522,0.2299780975339978,5.5195528527104,1346.454932520988,1.837519718602694,2.935123014592349,5.67,neos,0,-0.6629171259403989,-1.442889234571996
2.201041283770178,0.1564762591182058,5.890292825553377,1192.726063460357,1.856630577521087,2.545451990019268,6.61,neos,0,-0.8982996949882672,-1.5352006836933592
2.386377079528421,0.1226465963715405,5.578030074802312,1346.502085886102,2.093696053065203,2.679058105991639,6.34,neos,0,-0.8698834678161904,-1.8744019033831798
3.143633349787946,0.109626631962854,3.832432290463585,2035.85225790233,2.799007413524589,3.488259286051303,5.65,neos,0,-0.5057439949152346,-2.4073380672959996
2.454317688400214,0.0997989362658433,4.633418863308689,1404.412198218163,2.209379393839429,2.699255982960999,6.73,neos,0,-0.895030368515406,-1.933080015203981
2.333929570777747,0.2200209864879293,8.374048109126806,1302.356994045241,1.820416084221878,2.847443057333616,7.29,neos,0,-0.6417769261878321,-0.9096447326745811
2.577100923168633,0.0849876873063059,16.52551032741327,1511.108215188403,2.358079075753584,2.796122770583681,6.91,neos,0,-0.5966762669067208,-1.6728288600265473
2.588049438403308,0.1627055531486729,9.12959957780676,1520.748088317253,2.166959422951786,3.009139453854831,6.54,neos,0,-0.6004491988659645,-1.5244852950493781
2.64324789308708,0.1877168034505561,11.7605108752516,1569.658835266388,2.147065847869357,3.139429938304804,5.42,neos,0,-0.46954217133333503,-1.6624615849473605
2.92212275411611,0.1340602466664047,3.09735344094621,1824.509424106482,2.530382256909791,3.31386325132243,6.2,neos,0,-0.5990539789950589,-2.050679153445095
2.471198184252616,0.1319543978562939,5.592420276541049,1418.926145342995,2.145112715865995,2.797283652639237,7.92,neos,0,-0.7958030475094592,-1.3490427070734
2.295263683459345,0.2181122710613837,10.13132998187295,1270.12745735929,1.79463850877531,2.795888858143379,6.35,neos,0,-0.6335254506962843,-1.1560293020906787
2.442943227264783,0.157869787517438,1.573343269217742,1394.660459802782,2.057276299059327,2.828610155470238,7.49,neos,0,-0.8496753113095858,-1.4302119062865126
2.408752480111193,0.1438882275731435,0.7093090726661438,1365.48423086958,2.06216135508558,2.755343605136806,6.54,neos,0,-0.9196551234993549,-1.8240499754001744
2.433845943570712,0.164799426543564,3.064571423545109,1386.877346481577,2.032749527774879,2.834942359366545,7.49,neos,0,-0.8089280031994642,-1.3457661959228087
2.910053672342015,0.0989147419731515,13.70151963742415,1813.217598373722,2.622206464214282,3.197900880469747,6.79,neos,0,-0.4413406341508624,-1.7892975192602456
2.628975760904523,0.2311484873671491,10.1088668583705,1556.963027806914,2.021291990446542,3.236659531362503,7.13,neos,0,-0.42024158333785755,-0.9113258985655814
