a,e,i,per,q,ad,H,category,dbscan_cluster
2.766051155365554,0.0794012462377993,10.58779899521626,1680.307393820176,2.546423246472024,2.985679064259084,3.34,neos,-1
2.770193724888286,0.230540390934673,34.92402104683643,1684.083568966423,2.131552180587763,3.40883526918881,4.11,neos,-1
2.670669610528136,0.2559472478034571,12.98651243308289,1594.148129072743,1.987119073921129,3.354220147135143,5.19,neos,-1
2.361397458473309,0.0901071250284849,7.143943095399415,1325.415557908216,2.148618722440708,2.57417619450591,3.25,neos,-1
2.386321366597522,0.2299780975339978,5.5195528527104,1346.454932520988,1.837519718602694,2.935123014592349,5.67,neos,-1
2.875286805541823,0.332289759201988,1.851035221527333,1780.820654027799,1.919858445291677,3.830715165791968,8.48,neos,-1
3.994882533152992,0.1682949152354766,6.174356621682088,2916.449410331678,3.322564115860324,4.667200950445662,7.89,neos,-1
3.112664052169539,0.0142208501549767,7.262946070612474,2005.842375536591,3.068399323100853,3.156928781238225,6.72,neos,-1
4.26724152522476,0.0440837162757114,2.334833254875063,3219.728587944695,4.079125660546818,4.455357389902702,8.58,neos,-1
2.682082108101126,0.3405946317583658,11.09641056949333,1604.377380510498,1.768579340146721,3.59558487605553,7.19,neos,-1
3.936377507029338,0.0243229377006083,4.653526418755791,2852.617480353152,3.840633242159787,4.032121771898889,7.62,neos,-1
3.983606307658549,0.2115184501081782,12.57242665778435,2904.109877298389,3.14100007562145,4.826212539695648,8.37,neos,-1
1.45815896084448,0.2227480169011467,10.82830761253864,643.1403141999031,1.133356943989735,1.782960977699224,10.4,neos,-1
1.944344796666474,0.0739684339525435,22.50539377752969,990.280780239052,1.800524656993278,2.088164936339669,11.21,neos,-1
5.275524855278196,0.0241547443577973,18.14948734532919,4425.852510421222,5.148095901045744,5.402953809510647,7.33,neos,-1
3.192519849715248,0.0155673783185274,20.60256487446465,2083.52557710142,3.142820685425322,3.242219014005174,7.48,neos,-1
2.636355360842985,0.5466515285670863,11.57399179534264,1563.523276676472,1.195187672992135,4.077523048693836,15.59,neos,-1
3.952423109539147,0.1896804148987515,2.259100770623537,2870.077154435689,3.202725854266348,4.702120364811946,9.09,neos,-1
3.00018269164193,0.0952109522573951,28.83436736299559,1898.103887813983,2.714532440624546,3.285832942659313,8.45,neos,-1
2.362210307318435,0.2745836101427414,23.01888748314208,1326.099975863643,1.713586073218545,3.010834541418326,10.03,neos,-1
2.473267631769401,0.5711888387357985,9.399888137692855,1420.708888553043,1.060564765296198,3.885970498242603,13.81,neos,-1
5.728181240850815,0.6622543829494995,42.54802533545957,5007.529920176203,1.93466810776826,9.52169437393337,10.55,neos,-1
2.63835892418572,0.1606913960080886,32.84007964715272,1565.305972441665,2.214397345487918,3.062320502883522,9.97,neos,-1
2.628562852810087,0.4529511574264896,15.71570512531357,1556.596236258495,1.437952266261483,3.819173439358692,14.19,neos,-1
2.665800727933956,0.5329907224613039,26.68214802215928,1589.790692990966,1.244953672014567,4.086647783853346,9.18,neos,-1
2.677991440523396,0.4690595488446245,15.31536228971822,1600.708325352922,1.421853983621726,3.934128897425066,14.37,neos,-1
1.919760465125785,0.434592867636064,11.86862228590597,971.558582235314,1.085446259412426,2.754074670839144,17.37,neos,-1
2.697477300703913,0.2053955516185649,33.82616388400434,1618.210910643532,2.143427462547276,3.25152713886055,10.73,neos,-1
2.76564297423288,0.2712683488623662,34.042069606801,1679.935467688138,2.015411571069923,3.515874377395837,11.53,neos,-1
3.21126895590183,0.372972533267949,24.23826592808419,2101.906766161589,2.013553838414403,4.408984073389257,11.24,neos,-1
3.417680915002491,0.3153396613746521,38.95266186795161,2307.786862507232,2.339950572578994,4.495411257425988,11.46,neos,-1
2.737394474493461,0.4885757491381661,26.67390285813523,1654.262809825476,1.399969918431142,4.074819030555781,12.35,neos,-1
2.767863338443934,0.4191763439010763,28.73043474830906,1681.958948584516,1.607640503817178,3.928086173070689,12.21,neos,-1
1.077993758749296,0.8269970440363614,22.80383949035125,408.8112104196057,0.1864961067739817,1.969491410724611,16.53,neos,-1
2.195302581957931,0.4876215452417529,52.18774063344868,1188.064472710675,1.124825744670395,3.265779419245468,14.62,neos,-1
2.929618237529394,0.3085414550230151,26.17193436528854,1831.533947343452,2.025709563860114,3.833526911198673,10.31,neos,-1
1.245661499800686,0.3356379546214706,13.33583532561431,507.8067734392566,0.8275702218568705,1.663752777744502,15.27,neos,-1
1.863027539433257,0.3972474665970576,8.456136476887867,928.8109760487464,1.122944569192846,2.603110509673669,12.79,neos,-1
1.367883881478552,0.4360388253134502,9.381908106861054,584.3489593438653,0.7714334006334416,1.964334362323663,14.28,neos,-1
1.470718674656975,0.5598464936018323,6.352185783539661,651.4676238253429,0.6473419815755338,2.294095367738417,16.08,neos,-1
2.261087587826247,0.60632424970856,18.35871578711857,1241.865338693286,0.8901353526121598,3.632039823040333,15.46,neos,-1
1.460881510207671,0.6143747649580364,22.21466822901931,644.9423793720721,0.5633527757422918,2.35841024467305,14.84,neos,-1
1.079958941003393,0.4668522298549034,16.10139880372478,409.929613790527,0.5757777012442187,1.584140180762566,16.79,neos,-1
1.893625005051852,0.5380672679973022,41.20711450673809,951.7861843447964,0.8747273719722243,2.912522638131479,12.48,neos,-1
2.544917681590535,0.5702617900147232,20.3989349511953,1482.890338277411,1.093648369046597,3.996186994134474,18.38,neos,-1
2.273154349612403,0.4493028401863036,12.87668922472011,1251.819797274723,1.251819644149701,3.294489055075106,14.92,neos,-1
2.148996910593281,0.5056261748498805,23.96047267571335,1150.673505782372,1.06240782292579,3.235585998260772,14.38,neos,-1
3.310033889766179,0.3839226734231787,19.07239322283811,2199.617100448363,2.039236829685825,4.580830949846534,14.86,neos,-1
3.23595839427296,0.4819467683599899,35.4308756751275,2126.19366848094,1.676398703605725,4.795518084940195,12.35,neos,-1
3.95809245350565,0.2890144598240055,3.95703265956838,2876.254613560812,2.814146501122242,5.102038405889057,11.86,neos,-1
1.43032986682301,0.2561027627674788,8.708729946912538,624.8168568146249,1.064018436260797,1.796641297385223,15.69,neos,-1
1.390401877875181,0.0615402331432024,39.0922220708341,598.8374403564774,1.304836222147996,1.475967533602366,14.09,neos,-1
1.709381149952363,0.3647331673187133,26.87003873990315,816.313150034393,1.085913148975334,2.332849150929393,13.81,neos,-1
1.776403058285136,0.650519216175882,39.8231625371841,864.7900719792269,0.6208187331970497,2.931987383373223,15.26,neos,-1
2.641601955226156,0.5317322820704836,11.02235450231238,1568.192934918218,1.2369769192519,4.046226991200411,15.98,neos,-1
13.69894349534141,0.3782232479060514,6.922251597122774,18519.49066887113,8.517684593651905,18.88020239703092,5.55,neos,-1
2.264999425910816,0.5355493817264817,3.800550680308702,1245.089501729213,1.051980383753443,3.47801846806819,16.7,neos,-1
0.966965695947688,0.1828841947684451,18.9352944780245,347.308192549015,0.7901229532755859,1.14380843861979,17.11,neos,-1
