section,Body,Image,Radius,Volume,Mass,Surface area,Density,Gravity,Type,Discovery,Radius ( km ),Mass (10 18 kg),Density (g/cm 3 ),Refs r · M,Mass ( 10 18 kg ),Mass ( 10 15 kg ),Type – notes,Radius ( m ),Mass ( 10 9 kg )
From_20_to_49_km,Proserpina 26,wikipedia_images\60px-A713.M1189.shape.png,,,,,,,,,47.4 ± 0.85,,,·,,748 ± 895,belt asteroid type S,,
From_20_to_49_km,Juliet Uranus XI,wikipedia_images\60px-Julietmoon.png,,,,,,,,,46.8 ± 4,,,,,,moon of Uranus,,
From_20_to_49_km,Urania 30,wikipedia_images\60px-30Urania_%28Lightcurve_Inversion%29.png,,,,,,,,,44 ± 1,,,,,1300 ± 900,belt asteroid type S,,
From_20_to_49_km,Ausonia 63,wikipedia_images\60px-63Ausonia_%28Lightcurve_Inversion%29.png,,,,,,,,,46.5 ± 1.5,,,,,1200 ± 200,belt asteroid type S,,
From_20_to_49_km,Beatrix 83,,,,,,,,,,44.819 ± 1.326,,,,,,belt asteroid type X,,
From_20_to_49_km,Concordia 58,,,,,,,,,,44.806 ± 0.419,,,,,,belt asteroid type C,,
From_20_to_49_km,Echidna Typhon I,wikipedia_images\60px-Typhon-echidna_hst.jpg,,,,,,,,,44.5 ± 3,,,,,,moon of 42355 Typhon,,
From_20_to_49_km,Automedon 2920,,,,,,,,,,44.287 ± 0.898,,,,,,Jupiter trojan ( L 4 ) type D,,
From_20_to_49_km,Antiope 90,,,,,,,,,,43.9 ± 0.5,,,·,,828 ± 22,belt asteroid type C ; binary,,
From_20_to_49_km,Prometheus Saturn XVI,wikipedia_images\60px-Prometheus_12-26-09a.jpg,,,,,,,,,43.1 ± 2.7,,,·,,159.5 ± 1.5,moon of Saturn,,
From_20_to_49_km,Danaë 61,,,,,,,,,,42.969 ± 1.076,,,·,,2890 ± 2780,belt asteroid type S,,
From_20_to_49_km,Thetis 17,wikipedia_images\60px-17Thetis-LB1.jpg,,,,,,,,,42.449 ± 1.014,,,·,,1200,belt asteroid type S,,
From_20_to_49_km,Pandora 55,wikipedia_images\60px-55Pandora_%28Lightcurve_Inversion%29.png,,,,,,,,,42.397 ± 1.251,,,,,,belt asteroid type M,,
From_20_to_49_km,Huenna 379,,,,,,,,,,42.394 ± 0.779,,,·,,383 ± 19,belt asteroid type B / type C ; binary,,
From_20_to_49_km,Virginia 50,,,,,,,,,,42.037 ± 0.121,,,·,,2310 ± 700,belt asteroid type X / type Ch,,
From_20_to_49_km,Feronia 72,wikipedia_images\60px-72Feronia_%28Lightcurve_Inversion%29.png,,,,,,,,,41.975 ± 2.01,,,·,,≈ 3320 ± 8490,belt asteroid type TDG,,
From_20_to_49_km,S/2000 (90) 1 Antiope I,,,,,,,,,,41.9 ± 0.5,,,,,,secondary of 90 Antiope,,
From_20_to_49_km,Poulydamas 4348,,,,,,,,,,41.016 ± 0.313,,,,,,Jupiter trojan ( L 5 ) type C,,
From_20_to_49_km,Logos 58534,wikipedia_images\60px-Logos-zoe-hst.jpg,,,,,,,,,41 ± 9,,,·,,458 ± 6.9,cubewano ; binary,,
From_20_to_49_km,Pandora Saturn XVII,wikipedia_images\60px-Pandora_PIA07632.jpg,,,,,,,,,40.7 ± 1.5,,,·,,137.1 ± 1.9,moon of Saturn,,
From_20_to_49_km,Thalassa Neptune IV,wikipedia_images\60px-Neptune_Trio.jpg,,,,,,,,,40.7 ± 2.8,,,,,,moon of Neptune,,
From_20_to_49_km,Niobe 71,wikipedia_images\60px-71Niobe_%28Lightcurve_Inversion%29.png,,,,,,,,,40.43 ± 0.4,,,,,,belt asteroid type S,,
From_20_to_49_km,Pomona 32,wikipedia_images\60px-32Pomona_%28Lightcurve_Inversion%29.png,,,,,,,,,40.38 ± 0.8,,,,,,belt asteroid type S,,
From_20_to_49_km,Belinda Uranus XIV,wikipedia_images\60px-Belinda.gif,,,,,,,,,40.3 ± 8,,,,,,moon of Uranus,,
From_20_to_49_km,Elara Jupiter VII,wikipedia_images\60px-Elara_-_New_Horizons.png,,,,,,,,,39.95 ± 1.7,,,,,,moon of Jupiter,,
From_20_to_49_km,Cressida Uranus IX,wikipedia_images\60px-Cressida.png,,,,,,,,,39.8 ± 2,,,,,,moon of Uranus,,
From_20_to_49_km,Amycus 55576,,,,,,,,,,38.15 ± 6.25,,,,,,centaur,,
From_20_to_49_km,Hylonome 10370,wikipedia_images\60px-10370_Hylonome_Hubble.jpg,,,,,,,,,37.545,,,,,,centaur,,
From_20_to_49_km,Socus 3708,,,,,,,,,,37.831 ± 0.404,,,,,,Jupiter trojan ( L 5 ) type C,,
From_20_to_49_km,Nysa 44,wikipedia_images\60px-44Nysa_%28Lightcurve_Inversion%29.png,,,,,,,,,37.83 ± 0.37,,,,,,belt asteroid type E,,
From_20_to_49_km,Rosalind Uranus XIII,wikipedia_images\60px-Rosalindmoon.png,,,,,,,,,36 ± 6,,,,,,moon of Uranus,,
From_20_to_49_km,Maja 66,wikipedia_images\60px-A737.M1234.shape%281%29.png,,,,,,,,,35.895 ± 0.46,,,,,,belt asteroid type C,,
From_20_to_49_km,Ariadne 43,wikipedia_images\60px-43Ariadne_%28Lightcurve_Inversion%29.png,,,,,,,,,35.67 ± 0.627,,,·,,≈ 1210 ± 220,belt asteroid type S,,
From_20_to_49_km,Iphigenia 112,,,,,,,,,,35.535 ± 0.26,,,·,,≈ 1970 ± 6780,belt asteroid type C,,
From_20_to_49_km,Xiangliu Gonggong I,,,,,,,,,,≈ 35 ± 15,,,,,,moon of (225088) Gonggong,,
From_20_to_49_km,Dike 99,wikipedia_images\60px-99Dike_%28Lightcurve_Inversion%29.png,,,,,,,,,33.677 ± 0.208,,,,,,belt asteroid type C,,
From_20_to_49_km,Echeclus 60558 or 174P,,,,,,,,,,32.3 ± 0.8,,,,,,centaur,,
From_20_to_49_km,Desdemona Uranus X,wikipedia_images\60px-Desdemonamoon.png,,,,,,,,,32 ± 4,,,,,,moon of Uranus,,
From_20_to_49_km,Eurybates 3548,wikipedia_images\60px-3548_Eurybates_Hubble.jpg,,,,,,,,,31.943 ± 0.149,,,,,,Jupiter trojan ( L 4 ) type CP,,
From_20_to_49_km,Eurynome 79,wikipedia_images\60px-79Eurynome_%28Lightcurve_Inversion%29.png,,,,,,,,,31.739 ± 0.476,,,,,,belt asteroid type S,,
From_20_to_49_km,Eurydike 75,,,,,,,,,,31.189 ± 0.802,,,,,,belt asteroid type M,,
From_20_to_49_km,Halimede Neptune IX,wikipedia_images\60px-Halimede.jpg,,,,,,,,,≈ 31,,,,,,moon of Neptune,,
From_20_to_49_km,Phocaea 25,wikipedia_images\60px-25Phocaea_%28Lightcurve_Inversion%29.png,,,,,,,,,30.527 ± 1.232,,,·,,599 ± 60,belt asteroid type S,,
From_20_to_49_km,Naiad Neptune III,wikipedia_images\60px-Naiad_Voyager.png,,,,,,,,,30.2 ± 3.2,,,,,,moon of Neptune,,
From_20_to_49_km,Schwassmann– Wachmann 1 29P,wikipedia_images\60px-29P_Schwassmann_Wachmann.jpg,,,,,,,,,30.2 ± 3.7,,,,,,comet,,
From_20_to_49_km,Neso Neptune XIII,wikipedia_images\60px-Neso_VLT-FORS1_2002-09-03_annotated.gif,,,,,,,,,≈ 30,,,,,,moon of Neptune,,
From_20_to_49_km,Angelina 64,wikipedia_images\60px-60Echo_%28Lightcurve_Inversion%29.png,,,,,,,,,29.146 ± 0.541,,,,,,belt asteroid type E,,
From_20_to_49_km,Pasiphae Jupiter VIII,wikipedia_images\60px-Pasipha%C3%A9.jpg,,,,,,,,,28.9 ± 0.4,,,,,,moon of Jupiter,,
From_20_to_49_km,Alkmene 82,wikipedia_images\60px-82Alkmene_%28Lightcurve_Inversion%29.png,,,,,,,,,28.811 ± 0.357,,,,,,belt asteroid type S,,
From_20_to_49_km,Nessus 7066,wikipedia_images\60px-7066_Nessus_Hubble.jpg,,,,,,,,,28.5 ± 8.5,,,,,,centaur,,
From_20_to_49_km,Polana 142,,,,,,,,,,27.406 ± 0.139,,,,,,belt asteroid type F,,
From_20_to_49_km,Bianca Uranus VIII,wikipedia_images\60px-Biancamoon.png,,,,,,,,,27 ± 2,,,,,,moon of Uranus,,
From_20_to_49_km,Mathilde 253,wikipedia_images\60px-%28253%29_mathilde_crop.jpg,,,,,,,,,26.4,,,·,,103.3 ± 4.4,belt asteroid type C,,
From_20_to_49_km,Hidalgo 944,wikipedia_images\60px-Hidalgoanimation2003.gif,,,,,,,,,26.225 ± 1.8,,,,,,centaur,,
From_20_to_49_km,Orus 21900,wikipedia_images\60px-21900_Orus_Hubble.jpg,,,,,,,,,25.405 ± 0.405,,,,,,Jupiter trojan ( L 4 ) type C / type D,,
From_20_to_49_km,Amalthea 113,,,,,,,,,,25.069 ± 0.633,,,,,,belt asteroid type S ; binary,,
From_20_to_49_km,Prospero Uranus XVIII,wikipedia_images\60px-Prospero_-_Uranus_moon.jpg,,,,,,,,,≈ 25,,,,,,moon of Uranus,,
From_20_to_49_km,Setebos Uranus XIX,wikipedia_images\60px-Uranus_-_Setebos_image.jpg,,,,,,,,,≈ 24,,,,,,moon of Uranus,,
From_20_to_49_km,Carme Jupiter XI,wikipedia_images\60px-Carm%C3%A9.jpg,,,,,,,,,23.35 ± 0.45,,,,,,moon of Jupiter,,
From_20_to_49_km,Klytia 73,wikipedia_images\60px-73Klytia_%28Lightcurve_Inversion%29.png,,,,,,,,,22.295 ± 0.471,,,,,,belt asteroid type S,,
From_20_to_49_km,Sao Neptune XI,wikipedia_images\60px-Sao_VLT-FORS1_2002-09-03_annotated.gif,,,,,,,,,≈ 22,,,,,,moon of Neptune,,
From_20_to_49_km,Echo 60,wikipedia_images\60px-60Echo_%28Lightcurve_Inversion%29.png,,,,,,,,,21.609 ± 0.286,,,·,,315 ± 32,belt asteroid type S,,
From_20_to_49_km,Metis Jupiter XVI,wikipedia_images\60px-Metis.jpg,,,,,,,,,21.5 ± 2,,,·,,≈ 119.893,moon of Jupiter,,
From_20_to_49_km,Ophelia Uranus VII,wikipedia_images\60px-Opheliamoon.png,,,,,,,,,21.4 ± 4,,,,,,moon of Uranus,,
From_20_to_49_km,Lysithea Jupiter X,wikipedia_images\60px-Lysithea_2MASS_JHK_color_composite.png,,,,,,,,,21.1 ± 0.35,,,,,,moon of Jupiter,,
From_20_to_49_km,Caliban Uranus XVI,wikipedia_images\60px-Caliban_discovery.jpg,,,,,,,,,21 +10 −6,,,,,,moon of Uranus,,
From_20_to_49_km,Laomedeia Neptune XII,wikipedia_images\60px-Laomedeia_VLT-FORS1_2002-09-03_annotated.gif,,,,,,,,,≈ 21,,,,,,moon of Neptune,,
From_20_to_49_km,Cordelia Uranus VI,wikipedia_images\60px-Cordeliamoon.png,,,,,,,,,20.1 ± 3,,,,,,moon of Uranus,,
From_20_to_49_km,Psamathe Neptune X,wikipedia_images\60px-Psamathe_feat.jpg,,,,,,,,,≈ 20,,,,,,moon of Neptune,,
From_1_to_19_km,Urda 167,wikipedia_images\60px-167Urda_%28Lightcurve_Inversion%29.png,,,,,,,,,19.968 ± 0.132,,,,,,belt asteroid type S,,
From_1_to_19_km,Hydra Pluto III,wikipedia_images\60px-Hydra_Enhanced_Color.jpg,,,,,,,,,19.65,,,·,,48 ± 42,moon of Pluto,,
From_1_to_19_km,Siarnaq Saturn XXIX,wikipedia_images\60px-Siarnaq-discovery-CFHT.gif,,,,,,,,,19.65 ± 2.95,,,,,,moon of Saturn,,
From_1_to_19_km,Koronis 158,wikipedia_images\60px-158Koronis_%28Lightcurve_Inversion%29.png,,,,,,,,,19.513 ± 0.231,,,,,,belt asteroid type S,,
From_1_to_19_km,Nix Pluto II,wikipedia_images\60px-Nix_best_view.jpg,,,,,,,,,19.017,,,·,,45 ± 40,moon of Pluto,,
From_1_to_19_km,Ganymed 1036,wikipedia_images\60px-001036-asteroid_shape_model_%281036%29_Ganymed.png,,,,,,,,,18.838 ± 0.199,,,·,,≈ 167 ± 318,Amor asteroid type S,,
From_1_to_19_km,Okyrhoe 52872,,,,,,,,,,18 ± 0.6,,,,,,centaur,,
From_1_to_19_km,Blarney 2320,,,,,,,,,,18,,,,,,belt asteroid,,
From_1_to_19_km,Helene Saturn XII,wikipedia_images\60px-Helene_over_Saturn.jpg,,,,,,,,,17.6 ± 0.4,,,,,,moon of Saturn; Dione trojan ( L 4 ),,
From_1_to_19_km,Sinope Jupiter IX,wikipedia_images\60px-Sinop%C3%A9.jpg,,,,,,,,,17.5 ± 0.3,,,,,,moon of Jupiter,,
From_1_to_19_km,Hippocamp Neptune XIV,wikipedia_images\60px-Hippocamp-heic1904b.jpg,,,,,,,,,17.4 ± 1,,,·,,≈ 50,moon of Neptune,,
From_1_to_19_km,Leucus 11351,wikipedia_images\60px-11351_Leucus_Hubble.jpg,,,,,,,,,17.078 ± 0.323,,,,,,Jupiter trojan ( L 4 ) type D,,
From_1_to_19_km,Stephano Uranus XX,wikipedia_images\60px-Stephano_-_Uranus_moon.jpg,,,,,,,,,≈ 16,,,,,,moon of Uranus,,
From_1_to_19_km,Arrokoth 486958,wikipedia_images\60px-UltimaThule_CA06_color_20190516.png,,,,,,,,,15.85 ± 0.25,,,,,,cubewano ; contact binary,,
From_1_to_19_km,Ida 243,wikipedia_images\60px-243_Ida_large.jpg,,,,,,,,,15.7,,,·,,42 ± 6,belt asteroid type S ; binary,,
From_1_to_19_km,Atlas Saturn XV,wikipedia_images\60px-Atlas_color_PIA21449.png,,,,,,,,,15.1 ± 0.9,,,·,,6.6,moon of Saturn,,
From_1_to_19_km,Ananke Jupiter XII,wikipedia_images\60px-Anank%C3%A9.jpg,,,,,,,,,14.55 ± 0.3,,,,,,moon of Jupiter,,
From_1_to_19_km,Albiorix Saturn XXVI,wikipedia_images\60px-Albiorix_WISE-W4.jpg,,,,,,,,,14.3 ± 2.7,,,,,,moon of Saturn,,
From_1_to_19_km,Pan Saturn XVIII,wikipedia_images\60px-Pan_by_Cassini%2C_March_2017.jpg,,,,,,,,,14.1 ± 1.3,,,·,,4.95,moon of Saturn,,
From_1_to_19_km,Linus Kalliope I,,,,,,,,,,14 ± 1,,,·,,≈ 60,asteroid moon of 22 Kalliope,,
From_1_to_19_km,Dioretsa 20461,,,,,,,,,,14 ± 3,,,,,,centaur ; damocloid,,
From_1_to_19_km,Perdita Uranus XXV,wikipedia_images\60px-Perditamoon.png,,,,,,,,,13 ± 1,,,,,,moon of Uranus,,
From_1_to_19_km,Telesto Saturn XIII,wikipedia_images\60px-Telesto_cassini_closeup.jpg,,,,,,,,,12.4 ± 0.4,,,,,,moon of Saturn; Tethys trojan ( L 4 ),,
From_1_to_19_km,Mab Uranus XXVI,wikipedia_images\60px-Mabmoon.png,,,,,,,,,12 ± 1,,,,,,moon of Uranus,,
From_1_to_19_km,Phobos Mars I,wikipedia_images\60px-Phobos_colour_2008.jpg,,,,,,,,,11.1 ± 0.15,,,·,,10.659,moon of Mars,,
From_1_to_19_km,Paaliaq Saturn XX,wikipedia_images\60px-Paaliaq-CFHT.gif,,,,,,,,,≈ 11,,,,,,moon of Saturn,,
From_1_to_19_km,Francisco Uranus XXII,,,,,,,,,,≈ 11,,,,,,moon of Uranus,,
From_1_to_19_km,Leda Jupiter XIII,wikipedia_images\60px-Leda_WISE-W3.jpg,,,,,,,,,10.75 ± 0.85,,,,,,moon of Jupiter,,
From_1_to_19_km,Calypso Saturn XIV,wikipedia_images\60px-Calypso_N1644755236_1.jpg,,,,,,,,,10.7 ± 0.7,,,,,,moons of Saturn; Tethys trojan ( L 5 ),,
From_1_to_19_km,Polymele 15094,wikipedia_images\60px-15094_Polymele_Hubble.jpg,,,,,,,,,10.548 ± 0.068,,,,,,Jupiter trojan ( L 4 ) type P,,
From_1_to_19_km,Margaret Uranus XXIII,wikipedia_images\60px-S2003u3acircle.gif,,,,,,,,,≈ 10,,,,,,moon of Uranus,,
From_1_to_19_km,Ferdinand Uranus XXIV,wikipedia_images\60px-Uranus_moon_021002_02.jpg,,,,,,,,,≈ 10,,,,,,moon of Uranus,,
From_1_to_19_km,Cupid Uranus XXVII,wikipedia_images\60px-Cupidmoon.png,,,,,,,,,9 ± 1,,,,,,moon of Uranus,,
From_1_to_19_km,Ymir Saturn XIX,wikipedia_images\60px-Ymir-CFHT.gif,,,,,,,,,≈ 9,,,,,,moon of Saturn,,
From_1_to_19_km,Trinculo Uranus XXI,,,,,,,,,,≈ 9,,,,,,moon of Uranus,,
From_1_to_19_km,Eros 433,wikipedia_images\60px-Eros_-_PIA02923_%28color%29.jpg,,,,,,,,,8.42 ± 0.02,,,·,,6.687 ± 0.003,Amor asteroid type S,,
From_1_to_19_km,Adrastea Jupiter XV,wikipedia_images\60px-Adrastea.jpg,,,,,,,,,8.2 ± 2,,,,,,moon of Jupiter,,
From_1_to_19_km,Kiviuq Saturn XXIV,wikipedia_images\60px-Kiviuq-CFHT.gif,,,,,,,,,≈ 8,,,,,,moon of Saturn,,
From_1_to_19_km,Tarvos Saturn XXI,wikipedia_images\60px-Tarvos_discovery.gif,,,,,,,,,≈ 7.5,,,,,,moon of Saturn,,
From_1_to_19_km,Kerberos Pluto IV,wikipedia_images\60px-Kerberos_%28moon%29.jpg,,,,,,,,,≈ 6.333,,,·,,16 ± 9,moon of Pluto,,
From_1_to_19_km,Gaspra 951,wikipedia_images\60px-951_Gaspra.jpg,,,,,,,,,6.266,,,·,,20–30,belt asteroid type S,,
From_1_to_19_km,Deimos Mars II,wikipedia_images\60px-Deimos-MRO.jpg,,,,,,,,,6.2 ± 0.18,,,·,,1.476,moon of Mars,,
From_1_to_19_km,Skamandrios Hektor I,,,,,,,,,,6 ± 1.5,,,,,,asteroid moon of 624 Hektor,,
From_1_to_19_km,Ijiraq Saturn XXII,wikipedia_images\60px-Ijiraq-discovery-CFHT.gif,,,,,,,,,≈ 6,,,,,,moon of Saturn,,
From_1_to_19_km,Halley's Comet 1P,wikipedia_images\60px-Lspn_comet_halley.jpg,,,,,,,,,5.75,,,·,,0.22,comet,,
From_1_to_19_km,Styx Pluto V,wikipedia_images\60px-Styx_%28moon%29.jpg,,,,,,,,,≈ 5.5,,,·,,≈ 7.65,moon of Pluto,,
From_1_to_19_km,Romulus Sylvia I,wikipedia_images\60px-CMSylvia.png,,,,,,,,,5.4 ± 2.8,,,,,,asteroid moon of 87 Sylvia,,
From_1_to_19_km,Masursky 2685,wikipedia_images\60px-Asteroid_2685Masurky.png,,,,,,,,,5.372 ± 0.085,,,,,,belt asteroid type S,,
From_1_to_19_km,Erriapus Saturn XXVIII,wikipedia_images\60px-Erriapus-discovery-CFHT.gif,,,,,,,,,≈ 5,,,,,,moon of Saturn,,
From_1_to_19_km,Callirrhoe Jupiter XVII,wikipedia_images\60px-Callirrhoe_-_New_Horizons.gif,,,,,,,,,4.8 ± 0.65,,,,,,moon of Jupiter,,
From_1_to_19_km,Alexhelios Kleopatra I,wikipedia_images\60px-Kleopatra_moons_-_eso2113e.jpg,,,,,,,,,4.45 ± 0.8,,,,,,asteroid moon of 216 Kleopatra,,
From_1_to_19_km,Esclangona 1509,,,,,,,,,,4.085 ± 0.3,,,,,,inner belt asteroid type S ; binary,,
From_1_to_19_km,Themisto Jupiter XVIII,wikipedia_images\60px-S_2000_J_1.jpg,,,,,,,,,≈ 4,,,,,,moon of Jupiter,,
From_1_to_19_km,Daphnis Saturn XXXV,wikipedia_images\60px-Daphnis_%28Saturn%27s_Moon%29.jpg,,,,,,,,,3.8 ± 0.8,,,·,,0.077 ± 0.015,moon of Saturn,,
From_1_to_19_km,Petit-Prince Eugenia I,,,,,,,,,,3.5 ± 1,,,,,,asteroid moon of 45 Eugenia,,
From_1_to_19_km,Praxidike Jupiter XXVII,wikipedia_images\60px-Praxidike-Jewitt-CFHT-annotated.gif,,,,,,,,,3.5 ± 0.35,,,,,,moon of Jupiter,,
From_1_to_19_km,Bestla Saturn XXXIX,wikipedia_images\60px-Bestla-cassini.png,,,,,,,,,≈ 3.5,,,,,,moon of Saturn,,
From_1_to_19_km,Remus Sylvia II,wikipedia_images\60px-CMSylvia.png,,,,,,,,,≈ 3.5,,,,,,asteroid moon of 87 Sylvia,,
From_1_to_19_km,Kalyke Jupiter XXIII,wikipedia_images\60px-Kalyke-Jewitt-CFHT-annotated.gif,,,,,,,,,3.45 ± 0.65,,,,,,moon of Jupiter,,
From_1_to_19_km,Cleoselene Kleopatra II,wikipedia_images\60px-Kleopatra_moons_-_eso2113e.jpg,,,,,,,,,3.45 ± 0.8,,,,,,asteroid moon of 216 Kleopatra,,
From_1_to_19_km,S/2019 (31) 1 Euphrosyne I,,,,,,,,,,3.35 ± 1.2,,,,,,asteroid moon of 31 Euphrosyne,,
From_1_to_19_km,Tempel 1 9P,wikipedia_images\60px-Tempel_1_%28PIA02127%29.jpg,,,,,,,,,3 ± 0.1,,,,,,Jupiter-family comet ; Deep Impact flyby and impacted,,
From_1_to_19_km,Ireland 5029,,,,,,,,,,3,,,,,,belt asteroid,,
From_1_to_19_km,Phaethon 3200,wikipedia_images\60px-PIA22185.gif,,,,,,,,,2.9,,,,,,Apollo asteroid type F,,
From_1_to_19_km,1999 JM 8 53319,wikipedia_images\60px-Asteroid_1999_JM8.gif,,,,,,,,,2.7 ± 0.6,,,,,,Apollo asteroid type X,,
From_1_to_19_km,Borrelly 19P,wikipedia_images\60px-Comet_Borrelly_Nucleus.jpg,,,,,,,,,2.66,,,,,,Jupiter-family comet,,
From_1_to_19_km,Šteins 2867,wikipedia_images\60px-2867_%C5%A0teins_by_Rosetta_%28reprocessed%29.png,,,,,,,,,2.58 ± 0.084,,,,,,belt asteroid type E,,
From_1_to_19_km,Atira 163693,wikipedia_images\60px-Atira.20jan17.u2.s1p0.gif,,,,,,,,,2.4 ± 0.25,,,,,,Atira asteroid type S ; binary,,
From_1_to_19_km,Annefrank 5535,wikipedia_images\60px-Stardust_-_Annefrank.jpg,,,,,,,,,2.4,,,,,,belt asteroid type S,,
From_1_to_19_km,Balam 3749,wikipedia_images\60px-003749-asteroid_shape_model_%283749%29_Balam.png,,,,,,,,,2.332 ± 0.107,,,·,,0.51 ± 0.02,belt asteroid type S ; trinary,,
From_1_to_19_km,Pallene Saturn XXXIII,wikipedia_images\60px-Pallene_N1665945513_1.jpg,,,,,,,,,2.22 ± 0.07,,,,,,moon of Saturn,,
From_1_to_19_km,Florence 3122,wikipedia_images\60px-Triple_asteroid_3122_Florence.gif,,,,,,,,,2.201 ± 0.015,,,·,,0.079 ± 0.002,Amor asteroid type S ; trinary,,
From_1_to_19_km,Wild 2 81P,wikipedia_images\60px-Wild2_3.jpg,,,,,,,,,2.133,,,,,,Jupiter family comet,,
From_1_to_19_km,Litva 2577,,,,,,,,,,2.115,,,,,,Mars-crosser type EU ; trinary,,
From_1_to_19_km,Churyumov–Gerasimenko 67P,wikipedia_images\60px-67P_Churyumov-Gerasimenko_-_Rosetta_%2832755885495%29.png,,,,,,,,,2,,,·,,0.00998,Jupiter-family comet,,
From_1_to_19_km,Donaldjohanson 52246,wikipedia_images\60px-Donaldjohanson_closest_approach.png,,,,,,,,,1.948 ± 0.007,,,,,,belt asteroid type C,,
From_1_to_19_km,Camelot 9500,,,,,,,,,,1.9,,,,,,belt asteroid,,
From_1_to_19_km,Cuno 4183,wikipedia_images\60px-4183_cuno.jpg,,,,,,,,,1.826 ± 0.051,,,,,,Apollo asteroid type S / type Q,,
From_1_to_19_km,1986 DA 6178,,,,,,,,,,1.575,,,,,,Amor asteroid type M,,
From_1_to_19_km,Pichi üñëm Alauda I,,,,,,,,,,1.55 ± 0.45,,,,,,asteroid moon of 702 Alauda,,
From_1_to_19_km,Toutatis 4179,wikipedia_images\60px-Toutatis.jpg,,,,,,,,,1.516,,,·,,0.0505,Apollo asteroid type S,,
From_1_to_19_km,Methone Saturn XXXII,wikipedia_images\60px-Methone_PIA14633.jpg,,,,,,,,,1.45 ± 0.03,,,,,,moon of Saturn,,
From_1_to_19_km,Carpo (moon) Jupiter XLVI,,,,,,,,,,1.44,,,,,,Moon of Jupiter,,
From_1_to_19_km,1998 QE 2 285263,wikipedia_images\60px-%28285263%29_1998_QE2%2C_Goldstone%2C_May_30%2C_2013.jpg,,,,,,,,,1.375,,,,,,Amor asteroid type S ; binary,,
From_1_to_19_km,Polydeuces Saturn XXXIV,wikipedia_images\60px-Polydeuces.jpg,,,,,,,,,1.3 ± 0.4,,,,,,moon of Saturn; Dione trojan ( L 5 ),,
From_1_to_19_km,2001 SN 263 153591,wikipedia_images\60px-2001sn263_arecibo.png,,,,,,,,,1.315 ± 0.2,,,·,,0.00951 ± 0.00013,Amor asteroid type C ; trinary,,
From_1_to_19_km,S/2003 (1509) 1 Esclangona I,,,,,,,,,,1.285,,,,,,asteroid moon of 1509 Esclangona,,
From_1_to_19_km,APL 132524,wikipedia_images\60px-132524_APL_New_Horizons.jpg,,,,,,,,,≈ 1.25,,,,,,belt asteroid type S,,
From_1_to_19_km,Camillo 3752,wikipedia_images\60px-3752_Camillo_Radar.jpg,,,,,,,,,1.153 ± 0.044,,,,,,Apollo asteroid type S,,
From_1_to_19_km,Cruithne 3753,wikipedia_images\60px-Cruithne.jpg,,,,,,,,,1.036 ± 0.053,,,,,,Aten asteroid type Q ; quasi-satellite of Earth,,
Below_1_km,Ra-Shalom 2100,wikipedia_images\60px-2100Ra-Shalom_%28Lightcurve_Inversion%29.png,,,,,,,,,,,,,,,Aten asteroid type C,990 ± 25,
Below_1_km,Geographos 1620,wikipedia_images\60px-Geographos.jpg,,,,,,,,,,,,,,,Apollo asteroid type S,980 ± 30,
Below_1_km,Midas 1981,,,,,,,,,,,,,,,,Apollo asteroid type S,975 ± 35,
Below_1_km,Mithra 4486,,,,,,,,,,,,,,,,Apollo asteroid type S,924.5 ± 11,
Below_1_km,1998 OH 12538,,,,,,,,,,,,,,,,Apollo asteroid type S,831.5 ± 164.5,
Below_1_km,Tantalus 2102,wikipedia_images\60px-1862Apollo_%28Lightcurve_Inversion%29.png,,,,,,,,,,,,,,,Apollo asteroid type Q,824.5 ± 22.5,
Below_1_km,Braille 9969,wikipedia_images\60px-Braille3.jpg,,,,,,,,,,,,,,,Mars-crosser type Q,820,
Below_1_km,2005 GO 21 308242,wikipedia_images\60px-2005GO21-20120617.jpg,,,,,,,,,,,,,,,Aten asteroid type S,780,
Below_1_km,Apollo 1862,wikipedia_images\60px-1862Apollo_%28Lightcurve_Inversion%29.png,,,,,,,,,,,,,,,Apollo asteroid type Q,≈ 750,
Below_1_km,1999 JD 6 85989,wikipedia_images\60px-Asteroid_1999_JD6.jpg,,,,,,,,,,,,,,,Aten asteroid type K ; contact binary,731 ± 10.5,
Below_1_km,Icarus 1566,wikipedia_images\60px-Icarus_Goldstone_radar_Jun17.jpg,,,,,,,,,,,,,,,Apollo asteroid type S,730,
Below_1_km,Dactyl Ida I,wikipedia_images\60px-Dactyl-HiRes.jpg,,,,,,,,,,,,,,,asteroid moon of 243 Ida,700,
Below_1_km,Castalia 4769,,,,,,,,,,,,,,,,Apollo asteroid type S ; contact binary,700,
Below_1_km,2007 PA 8 214869,wikipedia_images\60px-Pa8radar.jpg,,,,,,,,,,,,,,,Apollo asteroid type Q,675 ± 70,
Below_1_km,Moshup 66391,wikipedia_images\60px-1999kw4_vlt-eso1910.jpg,,,,,,,,,,,,·,,,Aten asteroid type S ; binary,658.5 ± 20,2490 ± 54
Below_1_km,1950 DA 29075,wikipedia_images\60px-1950_DA_%28color%29.png,,,,,,,,,,,,·,,,Apollo asteroid type S,653,≈ 2000
Below_1_km,2006 HY 51 394130,,,,,,,,,,,,,,,,Apollo asteroid,609 ± 114,
