id,name,alternative_names,object_type,is_planet,data_source,data_quality,mean_radius_km,mass_kg,density_g_cm3,gravity_m_s2,escape_velocity_km_s,avg_temperature_k,semimajor_axis_km,perihelion_km,aphelion_km,eccentricity,inclination_deg,discovered_by,discovery_date,has_image,clustering_enabled,last_updated,sbdb_class,is_neo,is_pha,diameter_km,absolute_magnitude_H,albedo,rotation_period_h,semimajor_axis_au,orbital_period_days,perihelion_distance_au,aphelion_distance_au,argument_periapsis_deg,longitude_ascending_node_deg,mean_anomaly_deg,has_orbital_data,is_anomaly,anomaly_type,display_name,search_keywords,ui_category
thebe,Thebe,"['Thébé', 'Thebe']",Moon,False,OpenData,Primary,49.0,0.0,1.0,0.02,0.0,0.0,221900.0,218000.0,226000.0,0.018,1.08,Stephen P. Synnott,05/03/1979,False,False,2025-08-04T16:11:00.706707,,,,,,,,,,,,,,,,False,,Thebe,"pha,potentially hazardous,near earth,thebe,neo,thébé,moon",Lunas
adrastee,Adrastea,"['Adrastée', 'Adrastea']",Moon,False,OpenData,Primary,8.0,0.0,1.0,0.002,0.0,0.0,129000.0,0.0,0.0,0.002,0.054,"David C. Jewitt, G. E. Danielson",08/07/1979,False,False,2025-08-04T16:11:00.706745,,,,,,,,,,,,,,,,False,,Adrastea,"pha,potentially hazardous,near earth,adrastea,neo,adrastée,moon",Lunas
metis,Metis,"['Métis', 'Metis']",Moon,False,OpenData,Primary,22.0,0.0,1.0,0.005,0.0,0.0,128000.0,127974.0,128026.0,0.001,0.019,Stephen P. Synnott,04/03/1979,False,False,2025-08-04T16:11:00.706783,,,,,,,,,,,,,,,,False,,Metis,"pha,potentially hazardous,métis,near earth,neo,metis,moon",Lunas
callirrhoe,Callirrhoe,"['Callirrhoé', 'Callirrhoe']",Moon,False,OpenData,Primary,4.0,0.0,1.0,0.0031,0.0,0.0,24102000.0,0.0,0.0,0.283,147.1,J.V. Scott,06/10/1999,False,False,2025-08-04T16:11:00.706820,,,,,,,,,,,,,,,,False,,Callirrhoe,"pha,potentially hazardous,near earth,callirrhoé,neo,callirrhoe,moon",Lunas
themisto,Themisto,"['Thémisto', 'Themisto']",Moon,False,OpenData,Primary,4.0,0.0,1.0,0.0029,0.0,0.0,7507000.0,5909000.0,8874300.0,0.242,43.08,"Charles Kowal 1975 - Scott S. Sheppard, David C. Jewitt 2000",30/09/1975,False,False,2025-08-04T16:11:00.706858,,,,,,,,,,,,,,,,False,,Themisto,"pha,potentially hazardous,near earth,themisto,thémisto,neo,moon",Lunas
megaclite,Megaclite,"['Mégaclité', 'Megaclite']",Moon,False,OpenData,Primary,2.7,0.0,1.0,0.0,0.0,0.0,23806000.0,0.0,0.0,0.421,152.8,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.706896,,,,,,,,,,,,,,,,False,,Megaclite,"pha,potentially hazardous,near earth,mégaclité,neo,moon,megaclite",Lunas
taygete,Taygete,"['Taygété', 'Taygete']",Moon,False,OpenData,Primary,2.5,0.0,1.0,0.0,0.0,0.0,23360000.0,0.0,0.0,0.252,165.2,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.706933,,,,,,,,,,,,,,,,False,,Taygete,"taygété,pha,taygete,potentially hazardous,near earth,neo,moon",Lunas
chaldene,Chaldene,"['Chaldéné', 'Chaldene']",Moon,False,OpenData,Primary,1.9,0.0,1.0,0.0,0.0,0.0,23179000.0,0.0,0.0,0.251,165.2,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.706969,,,,,,,,,,,,,,,,False,,Chaldene,"chaldéné,pha,potentially hazardous,near earth,neo,chaldene,moon",Lunas
harpalyke,Harpalyke,"['Harpalyké', 'Harpalyke']",Moon,False,OpenData,Primary,2.2,0.0,1.0,0.0,0.0,0.0,21105000.0,0.0,0.0,0.226,148.6,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.707004,,,,,,,,,,,,,,,,False,,Harpalyke,"pha,potentially hazardous,near earth,harpalyké,neo,moon,harpalyke",Lunas
kalyke,Kalyke,"['Kalyké', 'Kalyke']",Moon,False,OpenData,Primary,2.6,0.0,1.0,0.0,0.0,0.0,23583000.0,0.0,0.0,0.245,165.2,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.707048,,,,,,,,,,,,,,,,False,,Kalyke,"pha,potentially hazardous,near earth,kalyke,neo,moon,kalyké",Lunas
iocaste,Iocaste,"['Iocasté', 'Iocaste']",Moon,False,OpenData,Primary,2.6,0.0,1.0,0.0,0.0,0.0,21269000.0,0.0,0.0,0.216,149.4,"Scott S. Sheppard, David C. Jewitt",23/11/2000,False,False,2025-08-04T16:11:00.707126,,,,,,,,,,,,,,,,False,,Iocaste,"pha,potentially hazardous,iocasté,near earth,neo,iocaste,moon",Lunas
