id,name,alternative_names,object_type,is_planet,data_source,data_quality,mean_radius_km,mass_kg,density_g_cm3,gravity_m_s2,escape_velocity_km_s,avg_temperature_k,semimajor_axis_km,perihelion_km,aphelion_km,eccentricity,inclination_deg,discovered_by,discovery_date,has_image,clustering_enabled,last_updated,sbdb_class,is_neo,is_pha,diameter_km,absolute_magnitude_H,albedo,rotation_period_h,semimajor_axis_au,orbital_period_days,perihelion_distance_au,aphelion_distance_au,argument_periapsis_deg,longitude_ascending_node_deg,mean_anomaly_deg,has_orbital_data,is_anomaly,anomaly_type,display_name,search_keywords,ui_category,rarity_score
20000361,361 Bononia (A893 EF),"[361, '   361 Bononia (A893 EF)']",NEO,,SBDB,Primary,,,,,,,,,,0.2115184501081782,12.57242665778435,,,,True,2025-08-04T16:11:00.736398,OMB,False,False,154.334,8.37,0.038,13.835,3.983606307658549,2904.109877298389,3.14100007562145,4.826212539695648,66.96744674431363,18.62763976102367,10.44025645324348,True,True,DBSCAN_Outlier,361 Bononia (A893 Ef),"361,361 bononia (a893 ef),neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20000433,433 Eros (A898 PA),"[433, '   433 Eros (A898 PA)']",NEO,,SBDB,Primary,,,,,,,,,,0.2227480169011467,10.82830761253864,,,,True,2025-08-04T16:11:00.739124,AMO,True,False,16.84,10.4,0.25,5.27,1.45815896084448,643.1403141999031,1.133356943989735,1.782960977699224,178.9225697371719,304.2718959654088,198.5980421063379,True,True,DBSCAN_Outlier,433 Eros (A898 Pa),"433,near earth,433 eros (a898 pa),neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20000434,434 Hungaria (A898 RB),"[434, '   434 Hungaria (A898 RB)']",NEO,,SBDB,Primary,,,,,,,,,,0.0739684339525435,22.50539377752969,,,,True,2025-08-04T16:11:00.739161,IMB,False,False,8.934,11.21,0.726,26.521,1.944344796666474,990.280780239052,1.800524656993278,2.088164936339669,123.9404526081224,175.2768680301155,304.3903010460422,True,True,DBSCAN_Outlier,434 Hungaria (A898 Rb),"434,434 hungaria (a898 rb),neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20000624,624 Hektor (A907 CF),"[624, '   624 Hektor (A907 CF)']",NEO,,SBDB,Primary,,,,,,,,,,0.0241547443577973,18.14948734532919,,,,True,2025-08-04T16:11:00.746983,TJN,False,False,225.0,7.33,0.025,6.924,5.275524855278196,4425.852510421222,5.148095901045744,5.402953809510647,180.178734790604,342.8031918061934,353.4441975293664,True,True,DBSCAN_Outlier,624 Hektor (A907 Cf),"624 hektor (a907 cf),624,neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20000702,702 Alauda (A910 OA),"[702, '   702 Alauda (A910 OA)']",NEO,,SBDB,Primary,,,,,,,,,,0.0155673783185274,20.60256487446465,,,,True,2025-08-04T16:11:00.749953,MBA,False,False,190.98,7.48,0.061,16.7072,3.192519849715248,2083.52557710142,3.142820685425322,3.242219014005174,352.8657964860325,289.7126978842134,71.68066680004225,True,True,DBSCAN_Outlier,702 Alauda (A910 Oa),"702 alauda (a910 oa),702,neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20000719,719 Albert (A911 TB),"[719, '   719 Albert (A911 TB)']",NEO,,SBDB,Primary,,,,,,,,,,0.5466515285670863,11.57399179534264,,,,True,2025-08-04T16:11:00.750627,AMO,True,False,,15.59,,5.801,2.636355360842985,1563.523276676472,1.195187672992135,4.077523048693836,156.2024606611706,183.8603455346328,194.5344276750867,True,True,DBSCAN_Outlier,719 Albert (A911 Tb),"near earth,neo,719 albert (a911 tb),anomaly,unusual,rare,719",Objetos Cercanos,0.0
20000748,748 Simeisa (A913 EL),"[748, '   748 Simeisa (A913 EL)']",NEO,,SBDB,Primary,,,,,,,,,,0.1896804148987515,2.259100770623537,,,,True,2025-08-04T16:11:00.751723,OMB,False,False,103.714,9.09,0.041,11.905,3.952423109539147,2870.077154435689,3.202725854266348,4.702120364811946,177.9387876069392,265.3880923291836,189.7405307852067,True,True,DBSCAN_Outlier,748 Simeisa (A913 El),"748 simeisa (a913 el),748,neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20000772,772 Tanete (A913 YD),"[772, '   772 Tanete (A913 YD)']",NEO,,SBDB,Primary,,,,,,,,,,0.0952109522573951,28.83436736299559,,,,True,2025-08-04T16:11:00.752723,MBA,False,False,126.473,8.45,0.028,17.258,3.00018269164193,1898.103887813983,2.714532440624546,3.285832942659313,145.5318197658126,63.71848163162986,51.42454104095038,True,True,DBSCAN_Outlier,772 Tanete (A913 Yd),"772 tanete (a913 yd),772,neo,anomaly,unusual,rare",Objetos Cercanos,0.0
20000852,852 Wladilena (A916 GM),"[852, '   852 Wladilena (A916 GM)']",NEO,,SBDB,Primary,,,,,,,,,,0.2745836101427414,23.01888748314208,,,,True,2025-08-04T16:11:00.756003,MBA,False,False,26.541,10.03,0.225,4.6134,2.362210307318435,1326.099975863643,1.713586073218545,3.010834541418326,282.1722166921965,27.26981836063055,296.4002603066824,True,True,DBSCAN_Outlier,852 Wladilena (A916 Gm),"852,neo,anomaly,unusual,rare,852 wladilena (a916 gm)",Objetos Cercanos,0.0
20000887,887 Alinda (A918 AA),"[887, '   887 Alinda (A918 AA)']",NEO,,SBDB,Primary,,,,,,,,,,0.5711888387357985,9.399888137692855,,,,True,2025-08-04T16:11:00.757372,AMO,True,False,4.2,13.81,0.31,28.41,2.473267631769401,1420.708888553043,1.060564765296198,3.885970498242603,350.5188040587685,110.4081643562289,30.88098141025258,True,True,DBSCAN_Outlier,887 Alinda (A918 Aa),"rare,near earth,887 alinda (a918 aa),neo,anomaly,887,unusual",Objetos Cercanos,0.0
