spkid,full_name,pdes,prefix,a,e,i,w,om,tp,per,q,ad,M1,M2,K1,K2,class,data_arc
1003140,     P/2010 JC81 (WISE),2010 JC81,P,8.133096409161784,0.7773506455785488,38.69026902738793,12.57330798719058,30.76805234895705,2455678.053837082403,8471.929001022465,1.810828664947294,14.45536415337627,10.3,13.5,10.0,5.0,HTC,1129
1003099,     C/2010 L5 (WISE),2010 L5,C,8.259755246183724,0.904213935128771,147.0489422836135,214.7635879881051,206.4722722735252,2455309.663341618647,8670.600861252138,0.7911694518314281,15.72834104053602,18.9,20.6,4.5,5.0,HTC,31
1003127,     C/2011 J3 (LINEAR),2011 J3,C,19.56357150052479,0.9258319357568648,114.7123817918573,27.84496409840208,21.51228368098265,2455585.887978679951,31606.08034434903,1.450992227876091,37.6761507731735,16.2,,4.5,,HTC,66
1003130,     C/2011 L1 (McNaught),2011 L1,C,11.03522339612269,0.7967985213593568,65.51267762366047,294.4706598268829,252.3638461023042,2455548.802045094742,13389.6776275541,2.242373711221951,19.82807308102343,10.4,14.2,12.5,5.0,HTC,103
1003152,     C/2011 S2 (Kowalski),2011 S2,C,16.30646930045959,0.9316148499421462,17.57253785793546,192.1899849795159,288.0703246751929,2455860.847765786202,24051.28765978537,1.115120350025716,31.49781825089347,15.6,,4.5,,HTC,180
1003187,     C/2012 H2 (McNaught),2012 H2,C,16.13650908325982,0.893609443803773,92.83558531160249,295.9019823745012,184.1359475078656,2456051.231814682628,23676.24400044121,1.71677217643348,30.55624599008615,15.7,17.8,10.0,5.0,HTC,78
1003198,     P/2012 NJ (La Sagra),2012 NJ,P,8.502747360141141,0.8480620374298449,84.3754608943381,338.4139062493553,315.763185318045,2456091.590281097417,9056.019305296511,1.29189011014861,15.71360461013367,14.8,,4.5,,HTC,272
1003213,     C/2012 T6 (Kowalski),2012 T6,C,14.35428825899047,0.8763375117617659,33.27550117765739,198.0986533890619,186.2204609950616,2456165.885356304167,19864.19280622456,1.775087002995631,26.9334895149853,15.7,,7.0,,HTC,108
1003227,     C/2012 Y3 (McNaught),2012 Y3,C,29.38573296981105,0.93994216589211,73.23190669390085,235.6942960582961,122.7079621602757,2456165.346342566576,58183.95230921389,1.764843475839666,57.00662246378244,12.9,,4.5,,HTC,113
1003286,     C/2013 V3 (Nevski),2013 V3,C,12.71854284810532,0.8909706912478069,32.13452891082039,339.6433628488162,100.9181548214613,2456595.405870956654,16567.40401072305,1.386693935064072,24.05039176114656,15.4,,5.75,,HTC,122
1003313,     C/2014 J1 (Catalina),2014 J1,C,8.646175711733074,0.8023933876862093,159.6964747664906,195.4800264938343,41.94212865338176,2456828.515492635599,9286.124729077494,1.708541491865351,15.5838099316008,16.8,,10.0,,HTC,44
1003332,     C/2014 Q3 (Borisov),2014 Q3,C,28.43455534374813,0.9420631902306376,89.94887840360386,47.38088320953415,63.1295171584859,2456980.567500418165,55381.93029316192,1.647407423827144,55.22170326366912,8.8,15.2,22.0,5.0,HTC,189
1003359,     C/2014 W7 (Christensen),2014 W7,C,11.38688838436122,0.8693006183748551,98.31374910623484,33.24015838136053,151.2609968284786,2457023.121987893577,14034.79334850289,1.488259270470557,21.28551749825188,16.3,18.4,10.0,5.0,HTC,83
1003360,     C/2014 W9 (PANSTARRS),2014 W9,C,11.16702131595852,0.8578443412738567,10.63053084298401,167.7694395691037,21.28861558606422,2457069.205800463187,13630.26955356676,1.587455271178967,20.74658736073807,14.6,17.3,13.75,5.0,HTC,226
1003367,     C/2015 A1 (PANSTARRS),2015 A1,C,20.11891422556591,0.9008144851681094,80.36574604899475,244.8792987589252,341.0859682683059,2457094.556973954384,32961.36856987085,1.995504865321403,38.2423235858104,7.3,17.0,32.5,5.0,HTC,279
1003369,     P/2015 A3 (PANSTARRS),2015 A3,P,7.482162596822461,0.8459095973449907,172.510659406925,249.6199231264339,277.0751587325246,2457076.374824116524,7475.480956338333,1.152929447274623,13.8113957463703,20.7,,4.5,,HTC,155
1003382,     C/2015 F5 (SWAN-Xingming),2015 F5,C,15.54986182340368,0.977748751941148,149.2566481258457,13.39323631810063,287.7396794019127,2457109.599618427982,22396.91636269593,0.3460038327134268,30.75371981409393,14.1,19.6,4.5,5.0,HTC,43
1003395,     C/2015 GX (PANSTARRS),2015 GX,C,16.18829443292671,0.8781988155067391,90.25452781618878,108.9579188108349,235.5155033293428,2457261.161882959741,23790.30823792271,1.971753436856135,30.40483542899728,14.2,,7.5,,HTC,326
1003384,     C/2015 H1 (Bressi),2015 H1,C,32.5365717861044,0.9407940389046346,140.6555743396824,21.75672735502181,325.8044564735717,2457110.119749157573,67788.51407436341,1.926359003344659,63.14678456886413,4.2,16.3,40.75,5.0,HTC,98
1003405,     P/2015 Q2 (Pimentel),2015 Q2,P,7.405813450450973,0.7543658909158587,146.2021559402096,244.4079203877576,228.2447727251498,2457275.839230551797,7361.351899401498,1.819120388944875,12.99250651195707,15.3,,10.0,,HTC,77
1003418,     C/2015 V4 (PANSTARRS),2015 V4,C,18.54504263906558,0.705601764290066,60.75130635629077,306.9071173374868,179.896328042832,2457628.494601120160,29170.25201296148,5.459627834106404,31.63045744402475,12.9,,4.5,,HTC,509
1003422,     C/2015 X2 (Catalina),2015 X2,C,15.75044143814462,0.8790792365396156,72.45847594894742,42.01818306950209,101.0941236930233,2457377.217482748408,22831.66177771352,1.904555403538522,29.59632747275072,16.1,,10.0,,HTC,67
1003429,     C/2015 X8 (NEOWISE),2015 X8,C,19.54919955998294,0.9391139990453506,155.281697527881,20.40052650458582,191.1118702885223,2457318.624202354747,31571.25869078784,1.190272583071752,37.90812653689412,16.2,18.1,4.5,5.0,HTC,683
1003431,     C/2015 YG1 (NEOWISE),2015 YG1,C,17.1691486910837,0.8792362154294353,57.33603835888664,102.7917631141584,350.5118626793929,2457294.471592938008,25984.93109679755,2.073411373790025,32.26488600837738,12.1,15.2,10.5,5.0,HTC,140
1003484,     C/2016 S1 (PANSTARRS),2016 S1,C,8.284009113517959,0.7088477779734836,94.68967072031232,273.6112820101625,227.5382229958063,2457829.312380353332,8708.819288813473,2.411907660688666,14.15611056634725,5.7,14.7,24.0,5.0,HTC,264
1003518,     P/2016 WM48 (Lemmon),2016 WM48,P,8.19538010351194,0.7867006067571972,117.5476690446145,35.85683956528158,59.87448337283545,2457811.285687886772,8569.432819165719,1.748069603473235,14.64269060355064,17.4,,4.5,,HTC,258
1003498,     C/2017 C1 (NEOWISE),2017 C1,C,20.80440293920799,0.9278155235730684,65.75224118294994,110.2043155925726,357.4571908365644,2457772.446371627595,34660.21974110576,1.501754933541643,40.10705094487433,18.1,,8.5,,HTC,102
1003505,     C/2017 E2 (Tsuchinshan),2017 E2,C,21.56555368151501,0.8908894952957762,79.16979184456505,89.46316297824248,11.56209960220199,2457520.729729784895,36579.63318714004,2.353028446416134,40.77807891661389,14.5,,4.5,,HTC,89
1003514,     P/2017 G2 (PANSTARRS),2017 G2,P,8.139426025769344,0.6503128039302977,47.90624451126158,105.9391341631882,79.8196272076933,2457918.414130424807,8481.820896754427,2.846253064568043,13.43259898697065,12.9,15.4,10.0,5.0,HTC,130
1003548,     C/2017 W2 (Leonard),2017 W2,C,13.70534769607005,0.7112567233701367,98.17929056760482,169.1577142195117,312.8090619476837,2458059.437718010964,18532.47886709168,3.957327001114813,23.45336839102528,10.9,14.0,10.0,5.0,HTC,384
1003554,     P/2017 Y3 (Leonard),2017 Y3,P,9.864564471424249,0.8707108805845301,27.58565185691802,67.5287861723099,153.8739129853849,2458160.759869669226,11316.58266529637,1.275380853927572,18.45374808892092,16.5,18.6,11.0,5.0,HTC,265
1003555,     C/2018 A1 (PANSTARRS),2018 A1,C,25.30330736321028,0.9043859806704536,53.55998148926074,96.38526729987834,336.6210525917974,2458046.927981986282,46490.51566381606,2.419350919327441,48.18726380709312,15.1,,5.0,,HTC,156
1003559,     C/2018 A6 (Gibbs),2018 A6,C,15.35223080155496,0.8034274477980462,76.95487540547634,264.5364531772582,340.3861377003131,2458678.800040297092,21971.29540065206,3.017827190655105,27.68663441245481,9.7,,7.25,,HTC,2390
1003642,     C/2018 DO4 (Lemmon),2018 DO4,C,25.85770853120428,0.9069541321135992,160.4748207329297,175.9747332429793,251.1328762919796,2458713.910663088012,48026.78117014858,2.405952931839495,49.30946413056906,13.2,13.8,6.5,5.0,HTC,2269
1003575,     C/2018 EN4 (NEOWISE),2018 EN4,C,18.42522536808208,0.9214147989842768,81.56200421727375,35.01112239196357,136.1651478161492,2458277.278125943307,28888.01093565829,1.447950039310733,35.40250069685344,13.6,,21.5,,HTC,213
1003572,     C/2018 K1 (Weiland),2018 K1,C,29.92979639468568,0.9372141102807928,164.192707343459,325.0029097838556,260.0017994169327,2458215.398689422561,59807.28263559053,1.879168895755063,57.9804238936163,12.5,15.6,14.75,5.0,HTC,251
1003578,     C/2018 M1 (Catalina),2018 M1,C,21.26395136337984,0.9387000323283536,37.25702431998508,14.13278553680923,339.4633087072912,2458309.524438962464,35814.95272536526,1.303479531146645,41.22442319561304,16.6,18.1,5.25,5.0,HTC,206
1003582,     C/2018 O1 (ATLAS),2018 O1,C,27.87355710566517,0.9440984749755604,154.0410448322048,162.502789164412,87.6189996315874,2458362.070056164398,53751.05830348434,1.55817435006249,54.18893986126785,12.1,17.8,34.0,5.0,HTC,78
1003588,     C/2018 R5 (Lemmon),2018 R5,C,22.85669057472917,0.8415681023585918,103.7580805941406,178.0117256674235,171.1415653526412,2458493.479569695943,39913.37481009775,3.621228861556831,42.09215228790151,14.4,,4.5,,HTC,131
1003871,     C/2018 S2 (TESS),2018 S2,C,14.20625433822126,0.6149147702137779,64.22044309960981,290.6834963332415,85.12591869247277,2458427.693225752606,19557.70113961657,5.470618716235449,22.94188996020707,6.7,,11.0,,HTC,585
1003594,     C/2018 V2 (ATLAS),2018 V2,C,25.48361605742344,0.9028851647958492,159.1099188337545,318.6624914116978,356.7908514457026,2458449.478323905817,46988.32963469774,2.47483717382253,48.49239494102434,13.6,,12.25,,HTC,297
1003598,     C/2018 W1 (Catalina),2018 W1,C,21.81983829845831,0.937663286002328,83.27887865438332,251.2480655704364,233.5895787467877,2458615.352937527020,37228.515471636,1.360177019486447,42.27949957743018,14.0,15.8,10.0,5.0,HTC,552
1003599,     C/2018 X3 (PANSTARRS),2018 X3,C,12.42135284333986,0.7827195269894678,43.36964116597223,359.8344819908737,78.92475844913288,2458483.299964830690,15990.12190741951,2.698917421231605,22.14378826544812,16.9,,4.5,,HTC,92
1003606,     C/2019 A5 (PANSTARRS),2019 A5,C,21.64869999467884,0.7078740415075246,67.53900248937774,356.039843208373,146.6192515475469,2458643.946198736462,36791.38694503705,6.324147236061602,36.97325275329608,7.3,,12.75,,HTC,530
1003630,     C/2019 L2 (NEOWISE),2019 L2,C,25.64270812624984,0.9367640864013724,152.1873777948549,18.81688032420424,12.53429645449389,2458575.582436605422,47429.0319448115,1.621540075506357,49.66387617699331,10.4,,27.75,,HTC,19
1003645,     C/2019 T5 (ATLAS),2019 T5,C,8.013295391706887,0.8092059221695207,33.42239412493824,189.6172608556432,247.6963682263689,2458696.643050541249,8285.431961695325,1.528889304643945,14.49770147876983,14.9,,9.5,,HTC,139
1003675,     C/2019 Y4-D (ATLAS),2019 Y4-D,C,22.63629963539177,0.9887434623775,44.82191932346851,177.8024226800834,120.5752373509421,2459000.645053063848,39337.48387686878,0.2548063584799706,45.01779291230356,13.4,15.5,4.5,5.0,HTC,8
1003699,     C/2020 M3 (ATLAS),2020 M3,C,26.81719489629923,0.9527076336324838,23.47352761822621,328.4463137724482,71.25023471341994,2459148.123882508269,50724.57877767579,1.268248605984869,52.36614118661359,14.6,,6.0,,HTC,348
1003723,     C/2020 S2 (PANSTARRS),2020 S2,C,10.17933993361122,0.8274882012143907,22.39783153880176,202.2630381622285,197.6853616835279,2459205.435761786896,11862.54446505316,1.756056242397456,18.60262362482498,16.3,19.2,13.5,5.0,HTC,142
1003780,     C/2021 J1 (Maury-Attard),2021 J1,C,26.52748241270289,0.9343837573557028,92.719322167905,147.3297784043173,88.32021481608461,2459264.985610422766,49904.81842561113,1.740633722734237,51.31433110267155,17.1,,5.25,,HTC,124
1004070,     P/2021 TR81 (Lemmon),2021 TR81,P,8.765417255898942,0.8324566959700233,36.82076848323792,272.0449470124867,220.2066273437644,2459672.529729945136,9478.886400748805,1.468586968254681,16.0622475435432,15.6,,11.0,,HTC,258
1003847,     C/2022 F2 (NEOWISE),2022 F2,C,23.93924746368025,0.9337904545263732,97.29316653695048,200.628782343891,58.69400174463903,2459661.960711178493,42782.30387035305,1.585006693550942,46.29348823380955,15.8,17.2,4.5,5.0,HTC,90
1003869,     C/2022 P1 (NEOWISE),2022 P1,C,18.43193375947093,0.9134554258806822,154.606663519525,249.934454360369,205.0816478570986,2459911.974957757013,28903.78901047586,1.595183857408888,35.26868366153296,11.5,15.0,13.25,5.0,HTC,312
1003876,     C/2022 Q2 (ATLAS),2022 Q2,C,32.80403726163819,0.9498799369778972,151.4866150526072,44.06018533737623,352.9432560294623,2459976.087056928695,68626.10835911766,1.644140414932715,63.96393410834367,13.8,15.9,9.75,5.0,HTC,323
1003892,     C/2022 S5 (PANSTARRS),2022 S5,C,20.45011086984153,0.8934595493449644,136.5309285327641,232.7752573590413,214.8562031359616,2459910.961870562018,33778.62189378779,2.178764028018358,38.7214577116647,12.6,,17.25,,HTC,98
1003906,     C/2022 Y2 (Lemmon),2022 Y2,C,19.6420186074869,0.8704328015688126,165.907027773523,105.5537516165967,216.3493942797651,2460026.139935515415,31796.37454160389,2.544961322505329,36.73907589246846,9.7,,20.25,,HTC,289
1003914,     C/2023 E1 (ATLAS),2023 E1,C,19.33442932973791,0.9469027481696692,38.31298256859169,105.8946154935637,164.5742121655385,2460126.607460658395,31052.42088565456,1.026605063116829,37.64225359635898,16.2,,7.0,,HTC,325
1003954,     C/2023 S3 (Lemmon),2023 S3,C,28.46932033771628,0.970840295154484,140.4980192826371,281.5713087013626,233.8335290858979,2460329.123616791358,55483.52890256782,0.8301569782002494,56.1084836972323,16.3,,9.0,,HTC,251
1003975,     C/2024 A2 (ATLAS),2024 A2,C,32.35690650840175,0.9418473562521368,119.1113917820425,295.5811967160653,78.16712382840399,2460429.408423180263,67227.80287731528,1.881639656966,62.8321733598375,14.6,,4.5,,HTC,373
1004004,     C/2024 L1 (PANSTARRS),2024 L1,C,11.46220142670283,0.5334337777976628,99.17454561350932,171.8331691672922,45.13693670078658,2460789.043297369156,14174.26281372429,5.34787601777898,17.57652683562668,14.3,,4.5,,HTC,384
1004015,     C/2024 M1 (ATLAS),2024 M1,C,29.93136899575219,0.9430907128612293,73.71012926259718,345.6001348978307,76.21509683200544,2460634.528215270688,59811.99637805792,1.703372872635765,58.15936511886861,14.2,,4.75,,HTC,1085
1004086,     C/2024 XK14 (Bok),2024 XK14,C,17.00745274234524,0.8788999846487997,109.2144076045903,243.4843076508287,239.0892510795135,2460816.406028311848,25618.71463810588,2.059602788182822,31.95530269650766,6.8,,31.75,,HTC,223
1004076,     C/2025 K2 (PANSTARRS),2025 K2,C,25.35530891163522,0.8870600715874575,113.9776870448906,232.4674849805619,113.8278456608864,2460973.828404669036,46633.90524837639,2.863626773357983,47.84699104991245,7.4,,21.25,,HTC,50
